"year","species","stock","pe","B","B_lwr","B_upr","F","F_lwr","F_upr"
2002,"Plaice","3LNO",-0.735483564497937,146.636522303829,48.8133905232247,440.499408930238,0.0216112599385975,0.00719410726951026,0.0649207106089513
2003,"Plaice","3LNO",-0.155555483983615,147.303685492298,48.5962296842529,446.503276089442,0.024907727106338,0.00821718494908655,0.0754996843137586
2004,"Plaice","3LNO",-0.277449755308332,143.674481592448,47.4927259946753,434.642489529302,0.0185001537540938,0.00611537082552258,0.0559664652708713
2005,"Plaice","3LNO",0.351871571941532,161.275353727008,52.2886137069027,497.426454362817,0.0146023551992099,0.0047343682253825,0.0450384860688918
2006,"Plaice","3LNO",-0.522586018950264,150.366637376674,49.5267543329127,456.523467780377,0.00591221573820942,0.00194732595965401,0.0179498941930305
2007,"Plaice","3LNO",0.827025366311647,188.406286294164,60.9667029849456,582.234678557636,0.00769613386326224,0.00249040473437974,0.0237834740769571
2008,"Plaice","3LNO",-0.0295187361768904,195.301551834794,63.5192287718669,600.49054257366,0.00968758303364863,0.00315075736562148,0.0297862558563995
2009,"Plaice","3LNO",-1.11610371374589,160.021959563865,53.8955572647154,475.123161207647,0.0110609819103833,0.00372534985560606,0.0328412969422768
2010,"Plaice","3LNO",-0.229355013710321,158.43539050532,52.9252773891697,474.287036419197,0.0124782726491504,0.00416836187412181,0.037354551502163
2011,"Plaice","3LNO",0.0100250568370134,165.131308425752,55.0231330626975,495.57972264737,0.00752734300872379,0.00250817364633068,0.0225904984106163
2012,"Plaice","3LNO",0.179275536443146,179.02893601376,59.3564603677675,539.980984911022,0.00743455236698551,0.00246490161171013,0.0224238438706291
2013,"Plaice","3LNO",0.64803365746698,213.732862654279,69.326516877228,658.935983460584,0.0103353315562574,0.00335237421456152,0.0318637095804477
2014,"Plaice","3LNO",-0.561749224259606,195.800997908626,62.4358532958955,614.038709462697,0.0070939372875321,0.00226207237197704,0.022246832976195
2015,"Plaice","3LNO",-1.45691231449687,148.979056349257,49.0532016735394,452.463009008596,0.00747084877078797,0.00245986959782353,0.0226896504617023
2016,"Plaice","3LNO",-1.70034823102047,108.113304240048,37.0397381884623,315.56612236914,0.00942529698044817,0.00322911722066288,0.027510993593292
2017,"Plaice","3LNO",0.297461651948662,120.345324972975,40.0286087655922,361.816153233389,0.00953090616737771,0.00317011827622889,0.0286545057490466
2018,"Plaice","3LNO",-0.129137422055849,122.085159968207,40.5578667371453,367.494335465429,0.00632345487527758,0.00210071265186242,0.0190345316977176
1977,"Redfish","3LNO",-0.00919645607162983,504.631417229846,347.300638934353,733.234663883063,0.0542296794563932,0.0373222944140082,0.0787962846367603
1978,"Redfish","3LNO",-0.532431826837034,480.519107069342,335.528497078166,688.16393918674,0.0393387062489321,0.0274687453433541,0.0563379866825329
1979,"Redfish","3LNO",0.701657681918404,501.014761377996,355.926685328797,705.245775226906,0.0634791675848551,0.0450963353729661,0.0893554805271771
1980,"Redfish","3LNO",0.598456127113941,498.744504450124,356.557929431811,697.631605376402,0.0668398342288575,0.0477845323277947,0.0934939241236964
1981,"Redfish","3LNO",0.383810270376292,490.297862814657,350.147051517118,686.545819075296,0.0752277397014536,0.0537240180847344,0.105338599426124
1982,"Redfish","3LNO",0.340041640445787,477.423263667746,342.000792886324,666.469135254093,0.0689262599966243,0.0493751297086761,0.0962190751731321
1983,"Redfish","3LNO",1.0740250542177,485.996201094614,342.349982277345,689.91476473059,0.055323477713287,0.0389714807893687,0.0785365894315083
1984,"Redfish","3LNO",1.14068461967747,497.621797841154,348.749404944254,710.04408946947,0.049814939995681,0.0349119165522831,0.0710796911724119
1985,"Redfish","3LNO",1.21131745555977,506.689787814307,354.816078672374,723.570763861487,0.0567743828508788,0.039756996048982,0.0810758072397348
1986,"Redfish","3LNO",0.257908964795622,481.416782768198,339.868398525955,681.917235424238,0.110631789140689,0.0781033199239577,0.156707714606578
1987,"Redfish","3LNO",0.710014438608161,444.905182585398,305.409154851567,648.116201976816,0.189503299354839,0.130086240311295,0.276059177207626
1988,"Redfish","3LNO",0.206221298670808,364.394080342028,235.066748992874,564.873791623917,0.155485511583557,0.100302051254879,0.241029410764164
1989,"Redfish","3LNO",-0.79612036083783,304.630541107412,188.612380312917,492.013124596781,0.140839457015809,0.0872009258597747,0.227471812448474
1990,"Redfish","3LNO",-1.01409877893966,268.744889300722,160.948016231482,448.740016909449,0.1257586705665,0.0753153245230186,0.209987055394282
1991,"Redfish","3LNO",-1.4102880770129,243.968440144574,141.459172764682,420.761684260582,0.11958923860279,0.06934091456372,0.206250322476679
1992,"Redfish","3LNO",-2.64286310549603,216.596256454397,121.4692065994,386.220834262785,0.137906353918397,0.0773391732142457,0.245905944693539
1993,"Redfish","3LNO",-1.10262573991571,209.342262348571,110.365508084312,397.082236705143,0.134678968707498,0.0710029243159917,0.255460247403217
1994,"Redfish","3LNO",-2.33139991873712,193.118034270343,93.9720191894423,396.868934839609,0.0378524979690237,0.018419179125104,0.0777891127917923
1995,"Redfish","3LNO",-1.93676566786219,200.737737970393,95.1575978869084,423.462133768446,0.0239267416708083,0.0113422183874092,0.0504741618815158
1996,"Redfish","3LNO",0.84507110123595,241.320725651959,116.69815007577,499.028412972928,0.0418364397534624,0.0202313129624299,0.0865137964350324
1997,"Redfish","3LNO",0.233250545168502,274.462237520789,131.212655971501,574.102545727598,0.0209209108395652,0.0100016975063624,0.0437610225742794
1998,"Redfish","3LNO",-0.399523699229581,306.197573071833,145.129980689035,646.020576244476,0.0465418450480559,0.0220596688774924,0.0981947350391723
1999,"Redfish","3LNO",1.27987607306863,359.921596772249,168.080498543666,770.723295953524,0.0400892864707154,0.0187213752013928,0.0858457710740992
2000,"Redfish","3LNO",0.314594565320505,399.599905626185,183.033310333867,872.409968902312,0.0357007091321625,0.0163524036961084,0.0779420968455289
2001,"Redfish","3LNO",-0.117390197004042,433.131079278429,195.225432061167,960.953344327179,0.0547316993264321,0.0246692517799582,0.121428851506256
2002,"Redfish","3LNO",-0.799333203752326,445.963994213726,194.118650432385,1024.54804673359,0.0458131155543659,0.0199414757220387,0.105250062034181
2003,"Redfish","3LNO",-0.0268397498947758,482.312823067484,204.630946477718,1136.80586098768,0.0468907292494598,0.0198943379658078,0.110520917726697
2004,"Redfish","3LNO",-0.166999677193707,516.439276577251,213.087402775188,1251.64379929591,0.0138331848951294,0.00570769415709063,0.033526148927429
2005,"Redfish","3LNO",0.631482532090061,590.736391889335,243.636471295162,1432.336804286,0.0208790251783076,0.00861110317286605,0.0506246044955131
2006,"Redfish","3LNO",-0.22427089978222,638.526431052208,261.751713122665,1557.64406768639,0.0176171250757202,0.0072218038981835,0.0429758409822837
2007,"Redfish","3LNO",1.04082596530287,731.440672167193,300.171295128286,1782.33383932247,0.0105572472161282,0.00433252168007729,0.0257253112650223
2008,"Redfish","3LNO",0.136621541401281,794.604729557523,328.910225806042,1919.66265167906,0.00696069353007746,0.00288123540621173,0.0168161387699196
2009,"Redfish","3LNO",-0.942207120690684,817.802335449521,342.433433458574,1953.08224758258,0.00802883498295571,0.00336186558867505,0.0191745295828257
2010,"Redfish","3LNO",0.0272740383941597,881.66239055549,373.638538704075,2080.42931978083,0.0109044007127748,0.00462116155958273,0.0257307504556278
2011,"Redfish","3LNO",0.219033328569927,956.86074609855,410.478806706595,2230.52316578848,0.0100787915475913,0.00432364933389557,0.0234945138273446
2012,"Redfish","3LNO",0.558064146127161,1047.65077287773,457.052499448823,2401.41371775653,0.0109397141649773,0.004772605367936,0.0250758939373951
2013,"Redfish","3LNO",0.828388624262895,1144.07402257256,507.663402421707,2578.29373337034,0.0122605703155981,0.00544041969247,0.0276305125267786
2014,"Redfish","3LNO",-0.170185761341729,1172.55937193088,529.823133149796,2595.00839936751,0.0112736295631939,0.00509401048691092,0.0249498354694577
2015,"Redfish","3LNO",-0.986227478063882,1162.1268353833,533.698369843468,2530.52821187016,0.0153675136450228,0.00705741983678637,0.0334627216591237
2016,"Redfish","3LNO",-1.14090731189594,1153.8398977516,532.254297102811,2501.33538966292,0.0150038146832455,0.00692110305221122,0.0325258059807754
2017,"Redfish","3LNO",0.565411159681531,1252.45038607066,587.20313168441,2671.36172293374,0.0152964143035675,0.00717162330938855,0.0326258477965618
2018,"Redfish","3LNO",0.212528454429195,1323.27262331695,631.161433399516,2774.33053250535,0.0116612402675726,0.00556206256579857,0.0244485787366422
