"Year","Region","Species","Landings (kt)"
1973,"2HJ3KLNO","Skate spp.",0.83
1973,"2HJ3KLNO","White Hake",3.084
1973,"2HJ3KLNO","Witch Flounder",30.313
1973,"2HJ3KLNO","Wolffish spp.",4.89
1973,"2HJ3KLNO","Yellowtail Flounder",33.364
1974,"2HJ3KLNO","American Plaice",51.917
1974,"2HJ3KLNO","Atlantic Cod",450.109
1974,"2HJ3KLNO","Atlantic Halibut",0.546
1974,"2HJ3KLNO","Greenland Halibut",22.609
1974,"2HJ3KLNO","Haddock",1.744
1974,"2HJ3KLNO","Monkfish",0.001
1974,"2HJ3KLNO","Red Hake",0
1974,"2HJ3KLNO","Redfish spp.",65.47
1974,"2HJ3KLNO","Roughhead Grenadier",0
1974,"2HJ3KLNO","Roundnose Grenadier",25.196
1974,"2HJ3KLNO","Silver Hake",0.059
1974,"2HJ3KLNO","Skate spp.",2.613
1974,"2HJ3KLNO","White Hake",3.112
1974,"2HJ3KLNO","Witch Flounder",24.95
1974,"2HJ3KLNO","Wolffish spp.",4.728
1974,"2HJ3KLNO","Yellowtail Flounder",24.319
1975,"2HJ3KLNO","American Plaice",48.895
1975,"2HJ3KLNO","Atlantic Cod",337.507
1975,"2HJ3KLNO","Atlantic Halibut",0.384
1975,"2HJ3KLNO","Greenland Halibut",26.568
1975,"2HJ3KLNO","Haddock",1.338
1975,"2HJ3KLNO","Monkfish",0
1975,"2HJ3KLNO","Red Hake",0
1975,"2HJ3KLNO","Redfish spp.",58.473
1975,"2HJ3KLNO","Roughhead Grenadier",0
1975,"2HJ3KLNO","Roundnose Grenadier",20.923
1975,"2HJ3KLNO","Silver Hake",0
1975,"2HJ3KLNO","Skate spp.",2.964
1975,"2HJ3KLNO","White Hake",5.663
1975,"2HJ3KLNO","Witch Flounder",18.803
1975,"2HJ3KLNO","Wolffish spp.",6.361
1975,"2HJ3KLNO","Yellowtail Flounder",22.896
1976,"2HJ3KLNO","American Plaice",57.908
1976,"2HJ3KLNO","Atlantic Cod",244.213
1976,"2HJ3KLNO","Atlantic Halibut",0.42
1976,"2HJ3KLNO","Greenland Halibut",22.234
1976,"2HJ3KLNO","Haddock",0.156
1976,"2HJ3KLNO","Monkfish",0.001
1976,"2HJ3KLNO","Red Hake",0
1976,"2HJ3KLNO","Redfish spp.",61.736
1976,"2HJ3KLNO","Roughhead Grenadier",0
1976,"2HJ3KLNO","Roundnose Grenadier",16.658
1976,"2HJ3KLNO","Silver Hake",0.003
1976,"2HJ3KLNO","Skate spp.",1.335
1976,"2HJ3KLNO","White Hake",3.876
1976,"2HJ3KLNO","Witch Flounder",17.37
1976,"2HJ3KLNO","Wolffish spp.",3.702
1976,"2HJ3KLNO","Yellowtail Flounder",8.069
1977,"2HJ3KLNO","American Plaice",51.506
1977,"2HJ3KLNO","Atlantic Cod",193.966
1977,"2HJ3KLNO","Atlantic Halibut",0.361
1977,"2HJ3KLNO","Greenland Halibut",30.228
1977,"2HJ3KLNO","Haddock",0.139
1977,"2HJ3KLNO","Monkfish",2.122
1977,"2HJ3KLNO","Red Hake",0
1977,"2HJ3KLNO","Redfish spp.",44.806
1977,"2HJ3KLNO","Roughhead Grenadier",0
